id,active,name,category,type,min_grade,min_duration,description
1085,0,"Técnico em Fotointeligência","Militar","Tecnico",,,
1086,0,"Técnico em Guarda e Segurança","Militar","Tecnico",,,
1087,0,"Técnico em Hidrografia","Militar","Tecnico",,,
1088,0,"Técnico em Infantaria","Militar","Tecnico",,,
1089,0,"Técnico em Informações Aeronáuticas","Militar","Tecnico",,,
1090,0,"Técnico em Manobras e Equipamentos de Convés","Militar","Tecnico",,,
1091,0,"Técnico em Material Bélico","Militar","Tecnico",,,
1092,0,"Técnico em Mecânica de Aeronaves","Militar","Tecnico",,,
1093,0,"Técnico em Mergulho","Militar","Tecnico",,,
1094,0,"Técnico em Montanhismo","Militar","Tecnico",,,
1095,0,"Técnico em Navegação Fluvial","Militar","Tecnico",,,
1096,0,"Técnico em Operação de Radar","Militar","Tecnico",,,
1097,0,"Técnico em Operação de Sonar","Militar","Tecnico",,,
1098,0,"Técnico em Operações de Engenharia Militar","Militar","Tecnico",,,
1099,0,"Técnico em Preparação Física e Desportiva Militar","Militar","Tecnico",,,
1100,0,"Técnico em Sensores de Aviação","Militar","Tecnico",,,
1101,0,"Técnico em Sinais Navais","Militar","Tecnico",,,
1102,0,"Técnico em Sinalização Náutica","Militar","Tecnico",,,
1103,0,"Técnico em Suprimento","Militar","Tecnico",,,
1104,0,"Técnico Aeroportuário","Infraestrutura","Tecnico",,,
1105,0,"Técnico em Agrimensura","Infraestrutura","Tecnico",,,
1106,0,"Técnico em Carpintaria","Infraestrutura","Tecnico",,,
1107,0,"Técnico em Desenho de Construção Civil","Infraestrutura","Tecnico",,,
1108,0,"Técnico em Edificações","Infraestrutura","Tecnico",,,
1109,0,"Técnico em Estradas","Infraestrutura","Tecnico",,,
1110,0,"Técnico em Geodésia e Cartografia","Infraestrutura","Tecnico",,,
1111,0,"Técnico em Geoprocessamento","Infraestrutura","Tecnico",,,
1112,0,"Técnico em Hidrologia","Infraestrutura","Tecnico",,,
1113,0,"Técnico em Portos","Infraestrutura","Tecnico",,,
1114,0,"Técnico em Saneamento","Infraestrutura","Tecnico",,,
1115,0,"Técnico em Trânsito","Infraestrutura","Tecnico",,,
1116,0,"Técnico em Transporte Aquaviário","Infraestrutura","Tecnico",,,
1117,0,"Técnico em Transporte de Cargas","Infraestrutura","Tecnico",,,
1118,0,"Técnico em Transporte Dutoviário","Infraestrutura","Tecnico",,,
1119,0,"Técnico em Transporte Ferroviário","Infraestrutura","Tecnico",,,
1120,0,"Técnico em Transporte Rodoviário","Infraestrutura","Tecnico",,,
1121,0,"Técnico em Computação Gráfica","Informação e Comunicação","Tecnico",,,
1122,0,"Técnico em Informática","Informação e Comunicação","Tecnico",,,
1123,0,"Técnico em Informática para Internet","Informação e Comunicação","Tecnico",,,
1124,0,"Técnico em Manutenção e Suporte em Informática","Informação e Comunicação","Tecnico",,,
1125,0,"Técnico em Programação de Jogos Digitais","Informação e Comunicação","Tecnico",,,
1126,0,"Técnico em Redes de Computadores","Informação e Comunicação","Tecnico",,,
1127,0,"Técnico em Sistemas de Comutação","Informação e Comunicação","Tecnico",,,
1128,0,"Técnico em Sistemas de Transmissão","Informação e Comunicação","Tecnico",,,
1129,0,"Técnico em Telecomunicações","Informação e Comunicação","Tecnico",,,
1130,0,"Técnico em Agenciamento de Viagem","Turismo, Hospitalidade e Lazer","Tecnico",,,
1131,0,"Técnico em Cozinha","Turismo, Hospitalidade e Lazer","Tecnico",,,
1132,0,"Técnico em Eventos","Turismo, Hospitalidade e Lazer","Tecnico",,,
1133,0,"Técnico em Guia de Turismo","Turismo, Hospitalidade e Lazer","Tecnico",,,
1134,0,"Técnico em Hospedagem","Turismo, Hospitalidade e Lazer","Tecnico",,,
1135,0,"Técnico em Lazer","Turismo, Hospitalidade e Lazer","Tecnico",,,
1136,0,"Técnico em Serviço de Restaurante e Bar","Turismo, Hospitalidade e Lazer","Tecnico",,,
1137,0,"Técnico em Administração","Gestão e Negócios","Tecnico",,,
1138,0,"Técnico em Comércio","Gestão e Negócios","Tecnico",,,
1139,0,"Técnico em Comércio Exterior","Gestão e Negócios","Tecnico",,,
1140,0,"Técnico em Contabilidade","Gestão e Negócios","Tecnico",,,
1141,0,"Técnico em Cooperativismo","Gestão e Negócios","Tecnico",,,
1142,0,"Técnico em Finanças","Gestão e Negócios","Tecnico",,,
1143,0,"Técnico em Logística","Gestão e Negócios","Tecnico",,,
1144,0,"Técnico em Marketing","Gestão e Negócios","Tecnico",,,
1145,0,"Técnico em Qualidade","Gestão e Negócios","Tecnico",,,
1146,0,"Técnico em Recursos Humanos","Gestão e Negócios","Tecnico",,,
1147,0,"Técnico em Secretariado","Gestão e Negócios","Tecnico",,,
1148,0,"Técnico em Seguros","Gestão e Negócios","Tecnico",,,
1149,0,"Técnico em Serviços de Condomínio","Gestão e Negócios","Tecnico",,,
1150,0,"Técnico em Serviços Jurídicos","Gestão e Negócios","Tecnico",,,
1151,0,"Técnico em Serviços Públicos","Gestão e Negócios","Tecnico",,,
1152,0,"Técnico em Transações Imobiliárias","Gestão e Negócios","Tecnico",,,
1153,0,"Técnico em Vendas","Gestão e Negócios","Tecnico",,,
1154,0,"Técnico em Análises Químicas","Controle e Processos Industriais","Tecnico",,,
1155,0,"Técnico em Automação Industrial","Controle e Processos Industriais","Tecnico",,,
1156,0,"Técnico em Eletroeletrônica","Controle e Processos Industriais","Tecnico",,,
1157,0,"Técnico em Eletromecânica","Controle e Processos Industriais","Tecnico",,,
1158,0,"Técnico em Eletrônica","Controle e Processos Industriais","Tecnico",,,
1159,0,"Técnico em Eletrotécnica","Controle e Processos Industriais","Tecnico",,,
1160,0,"Técnico em Manutenção Automotiva","Controle e Processos Industriais","Tecnico",,,
1161,0,"Técnico em Manutenção de Aeronaves em Aviônicos","Controle e Processos Industriais","Tecnico",,,
1162,0,"Técnico em Manutenção de Aeronaves em Célula","Controle e Processos Industriais","Tecnico",,,
1163,0,"Técnico em Manutenção de Aeronaves em Grupo Motopropulsor","Controle e Processos Industriais","Tecnico",,,
1164,0,"Técnico em Manutenção em Máquinas Pesadas","Controle e Processos Industriais","Tecnico",,,
1165,0,"Técnico em Manutenção Metroferroviária","Controle e Processos Industriais","Tecnico",,,
1166,0,"Técnico em Máquinas Navais","Controle e Processos Industriais","Tecnico",,,
1167,0,"Técnico em Mecânica","Controle e Processos Industriais","Tecnico",,,
1168,0,"Técnico em Mecânica de Precisão","Controle e Processos Industriais","Tecnico",,,
1169,0,"Técnico em Mecatrônica","Controle e Processos Industriais","Tecnico",,,
1170,0,"Técnico em Metalurgia","Controle e Processos Industriais","Tecnico",,,
1171,0,"Técnico em Metrologia","Controle e Processos Industriais","Tecnico",,,
1172,0,"Técnico em Petroquímica","Controle e Processos Industriais","Tecnico",,,
1173,0,"Técnico em Processamento da Madeira","Controle e Processos Industriais","Tecnico",,,
1174,0,"Técnico em Química","Controle e Processos Industriais","Tecnico",,,
1175,0,"Técnico em Refrigeração e Climatização","Controle e Processos Industriais","Tecnico",,,
1176,0,"Técnico em Sistemas a Gás","Controle e Processos Industriais","Tecnico",,,
1177,0,"Técnico em Sistemas de Energia Renovável","Controle e Processos Industriais","Tecnico",,,
1178,0,"Técnico em Soldagem","Controle e Processos Industriais","Tecnico",,,
1179,0,"Técnico em Alimentação Escolar","Desenvolvimento Educacional e Social","Tecnico",,,
1180,0,"Técnico em Biblioteca","Desenvolvimento Educacional e Social","Tecnico",,,
1181,0,"Técnico em Infraestrutura Escolar","Desenvolvimento Educacional e Social","Tecnico",,,
